learningRate,returns,timesteps,meanReturns,stdReturns,meanTimesteps,stdTimesteps
0.5,[11. 10. 10. ...  9. 10.  9.],[11. 10. 10. ...  9. 10.  9.],9.3664,0.745755348623126,9.3664,0.745755348623126
0.05,[13.  9.  9. ... 10.  8.  9.],[13.  9.  9. ... 10.  8.  9.],9.342,0.7573876154255494,9.342,0.7573876154255494
0.005,[18. 15. 24. ...  9. 10. 10.],[18. 15. 24. ...  9. 10. 10.],14.4842,26.877711032749794,14.4842,26.877711032749794
0.0005,[ 51.  13.  14. ... 354. 329. 234.],[ 51.  13.  14. ... 354. 329. 234.],215.6786,148.19363448556084,215.6786,148.19363448556084
5e-05,[ 41.  15.  10. ... 200. 175. 141.],[ 41.  15.  10. ... 200. 175. 141.],116.1026,85.48670582751448,116.1026,85.48670582751448
